name,released,genres,platforms,rating,metacritic,ratings_count
Remnant II,2023-07-21,"Adventure, Action, RPG","PC, PlayStation 5, Xbox Series S/X",4.18,,33
The Talos Principle 2,2023-11-01,"Adventure, Action","PC, PlayStation 5, Xbox Series S/X",4.38,,66
Paper Mario: The Origami King,2020-07-17,"Adventure, Action, RPG",Nintendo Switch,3.98,80.0,108
Island Saver,2020-05-12,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.33,,22
Beyond a Steel Sky,2020-07-15,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS",3.83,72.0,34
Eiyuden Chronicle: Rising,2022-05-10,"Adventure, Action, RPG, Strategy, Indie","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.5,,26
Avatar: Frontiers of Pandora,2023-12-07,"Adventure, Action","PC, PlayStation 5, Xbox Series S/X",2.65,,46
Bloodroots,2020-02-28,"Indie, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.44,,43
The Entropy Centre,2022-11-02,"Adventure, Puzzle","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.86,,54
Creepy Tale,2020-02-20,"Indie, Platformer, Adventure, Puzzle","PC, Xbox One, Nintendo Switch, macOS, Linux",3.58,,40
Lords of the Fallen,2023-10-13,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.41,,66
Bramble: The Mountain King,2023-04-27,"Indie, Adventure","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.32,,93
Lost in Play,2022-08-09,"Casual, Indie, Adventure","PC, Nintendo Switch",4.39,,69
Flynn: Son of Crimson,2021-09-15,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",3.26,79.0,29
Shredders,2022-03-17,"Action, Simulation, Sports","PC, Xbox One, Xbox Series S/X",2.66,,30
Beyond Blue,2020-06-11,"Adventure, Casual, Simulation, Family, Indie","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux",3.61,72.0,28
Cozy Grove,2021-04-08,"Casual, Indie, Adventure, Puzzle","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS",3.63,,47
Roller Champions,2022-05-25,"Racing, Action, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.2,,28
ONE PIECE: PIRATE WARRIORS 4,2020-03-26,Action,"PC, Xbox One, PlayStation 4, Nintendo Switch",3.57,,44
Unsighted,2021-09-30,"Indie, Adventure, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch",4.17,85.0,39
Sniper: Ghost Warrior Contracts 2,2021-06-04,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox Series S/X",3.57,74.0,57
Thymesia,2022-08-18,Action,"PC, PlayStation 5, Xbox Series S/X, Nintendo Switch",3.26,,59
Sakuna: Of Rice and Ruin,2020-11-10,"Platformer, Indie, Action, Simulation","PC, PlayStation 4, Nintendo Switch",3.75,80.0,37
Disjunction,2021-01-28,"Indie, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",3.0,71.0,11
Martha is Dead,2022-02-24,Adventure,"PC, PlayStation 5, PlayStation 4, Xbox Series S/X",3.58,67.0,49
Like a Dragon: Ishin!,2023-02-21,"Adventure, Action","PC, PlayStation 5, Xbox Series S/X",4.07,,42
NBA 2K22,2021-09-10,"Simulation, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2.9,,40
Lacuna – A Sci-Fi Noir Adventure,2021-05-20,"Indie, Adventure","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.54,,25
F1 22,2022-06-30,"Racing, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.15,,40
NEO: The World Ends With You,2021-07-27,"Action, RPG","PC, PlayStation 4, Nintendo Switch",3.87,82.0,30
Dodgeball Academia,2021-08-05,"Adventure, Action, RPG, Arcade, Sports, Indie","PC, Xbox One, PlayStation 4, Nintendo Switch",3.68,,38
Monster Hunter Stories 2: Wings of Ruin,2021-07-09,"Adventure, RPG","PC, Nintendo Switch",3.84,82.0,24
Enlisted,2021-04-08,"Shooter, Action","PC, PlayStation 5, Xbox Series S/X",3.15,,71
Life is Strange: Before the Storm Remastered,2022-02-01,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.31,,56
Slime Rancher 2,2022-09-22,"Adventure, Action, Casual, Simulation, Indie","PC, Xbox Series S/X",3.97,,26
Help Will Come Tomorrow,2020-04-20,"Strategy, Adventure, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch",3.41,,36
Party Animals,2023-09-20,"Casual, Indie, Action","PC, Xbox Series S/X",3.79,,39
The Jackbox Party Pack 8,2021-10-14,"Casual, Indie, Family","PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux",4.0,,29
Card Shark,2022-06-02,"Card, Adventure, Simulation, Indie","PC, Nintendo Switch, macOS, PlayStation 3, PSP",3.96,80.0,47
The Wild at Heart,2021-05-19,"Indie, Strategy, Adventure","PC, Xbox One, Xbox Series S/X, Nintendo Switch",3.64,76.0,41
The Bookwalker: Thief of Tales,2023-06-22,"Indie, Adventure","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",4.0,,61
FOBIA - St. Dinfna Hotel,2022-06-28,Indie,"PC, Xbox One, PlayStation 4, Xbox Series S/X",3.27,73.0,13
Garden Story,2021-08-11,"Indie, Adventure, RPG, Simulation","PC, Nintendo Switch, macOS",3.26,,19
Destroy All Humans! 2 - Reprobed,2022-08-30,"Adventure, Action","PC, PlayStation 5, Xbox One, Xbox Series S/X",3.28,,25
WWE 2K22,2022-03-08,"Simulation, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.83,,38
Xenoblade Chronicles 3,2022-07-29,RPG,Nintendo Switch,4.41,,66
My Time at Sandrock,2022-05-26,"Adventure, RPG, Casual, Simulation, Indie","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.89,,26
Leisure Suit Larry - Wet Dreams Dry Twice,2020-10-14,Adventure,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",3.24,,21
Littlewood,2020-08-04,"Casual, Indie, Adventure, RPG","PC, Nintendo Switch, macOS, Linux",3.64,81.0,42
Castlevania Advance Collection,2021-09-23,"Strategy, Platformer, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",4.06,,17
"Warhammer 40,000: Boltgun",2023-05-22,"Indie, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.47,,74
Summer in Mara,2020-06-15,"Indie, Adventure, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",3.12,,16
My Friend Peppa Pig,2021-10-22,Adventure,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.21,,33
Football Manager 2021,2020-11-23,"Strategy, Simulation, Sports","PC, Xbox One, Xbox Series S/X, macOS",4.14,82.0,77
TRIANGLE STRATEGY,2022-03-04,"Strategy, Adventure, RPG, Simulation","PC, Nintendo Switch",4.25,84.0,33
King Arthur: Knight's Tale,2022-04-26,"Strategy, RPG","PC, PlayStation 5, Xbox Series S/X",3.39,76.0,28
A Little to the Left,2022-11-08,"Casual, Indie, Puzzle","PC, Xbox Series S/X, Nintendo Switch, macOS",3.89,74.0,79
Ghostwire: Tokyo - Prelude,2022-03-08,"Casual, Adventure","PC, PlayStation 5, PlayStation 4",2.2,,9
Honkai Star Rail,2023-04-26,"Adventure, RPG","PC, PlayStation 5, iOS, Android",3.8,,128
Bomb Rush Cyberfunk,2023-08-18,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux",4.34,,44
The Settlers - New Allies,2023-02-17,Strategy,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.12,57.0,16
Demon Turf,2021-11-04,"Indie, Platformer, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch",3.33,,11
Pokémon Scarlet and Violet,2022-11-18,RPG,Nintendo Switch,3.6,,108
Football Manager 2022,2021-11-08,"Simulation, Sports","PC, Xbox One, Xbox Series S/X, Nintendo Switch, iOS, Android, macOS",3.9,,48
Heavenly Bodies,2021-12-07,"Adventure, Action, Simulation","PC, PlayStation 5, PlayStation 4, macOS",3.77,80.0,48
Revita,2021-03-03,"Adventure, Action, RPG, Indie, Platformer","PC, Nintendo Switch",0.0,78.0,5
When The Past Was Around,2020-09-21,"Casual, Indie, Adventure","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS",3.89,77.0,42
Unto The End,2020-12-09,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",3.16,70.0,48
Wytchwood,2021-12-09,"Casual, Indie, Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.76,78.0,16
MLB 21: The Show,2021-04-16,Sports,"PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.35,,17
Asterix & Obelix XXL: Romastered,2020-10-22,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",3.6,53.0,24
Deliver Us Mars,2023-02-02,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.26,,46
Disney Speedstorm,2023-04-18,"Racing, Adventure, Action, Casual, Simulation, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.41,,22
Tom Clancy’s Rainbow Six Extraction,2022-01-20,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",2.42,,47
The Binding of Isaac: Repentance,2021-03-31,Action,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.68,,120
Metroid Prime Remastered,2023-02-08,"Platformer, Shooter, Adventure, Action",Nintendo Switch,4.41,,67
Hidden Through Time,2020-03-12,"Casual, Educational, Puzzle","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS",3.76,80.0,45
Hyrule Warriors: Age of Calamity,2020-11-20,"Adventure, Action, Fighting",Nintendo Switch,3.88,78.0,75
Panzer Dragoon: Remake,2020-03-26,"Shooter, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",2.8,63.0,19
Asterigos: Curse of the Stars,2022-10-11,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.36,,28
Ys IX: Monstrum Nox,2021-02-05,"Adventure, Action, RPG","PC, PlayStation 4, Nintendo Switch",3.91,78.0,32
Recompile,2021-08-19,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, Xbox Series S/X",2.76,61.0,29
Atlas Fallen,2023-08-09,"Adventure, Action, RPG","PC, PlayStation 5, Xbox Series S/X",2.56,,39
The Almost Gone,2020-06-25,"Indie, Adventure, Puzzle","PC, Nintendo Switch, iOS, macOS",3.24,70.0,20
Evil Dead: The Game,2022-05-13,Action,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2.94,73.0,33
Storyteller,2023-03-23,"Adventure, Simulation, Puzzle","PC, Nintendo Switch, iOS, macOS",3.98,,99
Bridge Constructor: The Walking Dead,2020-11-18,"Simulation, Puzzle","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, Android, macOS, Linux",2.21,72.0,14
Minute of Islands,2021-03-18,"Indie, Adventure","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",3.47,,19
Stranger of Paradise: Final Fantasy Origin,2022-03-18,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.43,,46
Endling - Extinction is Forever,2022-07-19,"Casual, Indie, Adventure, Simulation","PC, PlayStation 5, PlayStation 4, Xbox One, Xbox Series S/X, Nintendo Switch, iOS, Android",3.73,,38
Hunter's Arena: Legends,2020-07-15,"Adventure, Action, RPG, Strategy, Massively Multiplayer","PC, PlayStation 5, PlayStation 4",1.61,,27
Young Souls,2022-03-10,"Indie, Adventure, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch",3.4,,29
Beholder 3,2022-03-03,Puzzle,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",3.18,,45
Deceive Inc.,2023-03-21,"Indie, Action","PC, PlayStation 5, Xbox Series S/X",3.5,,4
Octopath Traveler 2,2023-02-24,Strategy,"PC, PlayStation 5, PlayStation 4, Nintendo Switch",4.52,,21
Alfred Hitchcock – Vertigo,2021-12-16,Adventure,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.58,,32
Skater XL,2020-07-28,"Indie, Action, Simulation, Sports","PC, Xbox One, PlayStation 4, Nintendo Switch",3.41,57.0,39
Souldiers,2022-06-02,"Platformer, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.79,,14
Mega Man Zero/ZX Legacy Collection,2020-02-25,"Platformer, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch",3.72,,24
Outer Wilds - Echoes of the Eye,2021-09-28,Adventure,"PC, Xbox One, PlayStation 4, Nintendo Switch",4.56,,112
Kingdom Hearts: Melody of Memory,2020-11-13,"Family, Arcade","PC, Xbox One, PlayStation 4, Nintendo Switch",3.77,76.0,34
New Tales from the Borderlands,2022-10-21,Adventure,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",1.93,,13
Cassette Beasts,2023-04-26,"Indie, RPG","PC, Xbox Series S/X, Linux",3.63,,19
Pupperazzi,2022-01-20,"Casual, Indie, Action","PC, Xbox One, Xbox Series S/X",2.92,69.0,24
Who Pressed Mute on Uncle Marcus?,2022-03-18,Adventure,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",0.0,,3
Axiom Verge 2,2021-08-11,"Adventure, Action, Puzzle, Indie, Platformer","PC, PlayStation 5, PlayStation 4, Nintendo Switch, Linux",3.79,76.0,32
SpongeBob SquarePants: The Cosmic Shake,2023-01-31,Action,"PC, Xbox One, PlayStation 4, Nintendo Switch",3.77,,27
Soul Hackers 2,2022-08-26,RPG,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.52,,22
MY HERO ULTRA RUMBLE,2023-09-28,"Casual, Massively Multiplayer, Action","PC, PlayStation 5, PlayStation 4, Xbox Series S/X, Nintendo Switch",2.08,,12
"Pokémon Brilliant Diamond, Shining Pearl",2021-11-19,"Adventure, RPG",Nintendo Switch,3.44,73.0,83
Shantae and the Seven Sirens,2020-05-27,"Platformer, Adventure","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS",3.51,76.0,33
Lost Words: Beyond the Page,2021-04-05,"Adventure, Action, Puzzle, Casual, Family, Indie","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS",3.91,77.0,22
Archvale,2021-12-02,"Shooter, Adventure, Action","PC, Xbox One, Nintendo Switch",3.71,,33
The Last Stand: Aftermath,2021-11-16,"Indie, Shooter, Adventure, Action","PC, PlayStation 5, PlayStation 4, Xbox Series S/X",3.68,,31
The Expanse: A Telltale Series,2023-07-27,"Platformer, Adventure, RPG","PC, PlayStation 5, Xbox Series S/X",3.51,,46
Fort Solis,2023-08-21,"Adventure, Action","PC, PlayStation 5",3.09,,44
Umurangi Generation,2020-05-19,"Casual, Indie, Simulation","PC, Nintendo Switch",3.89,82.0,17
Foregone,2020-10-05,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS",3.6,71.0,25
Olija,2021-01-28,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.59,78.0,32
Those Who Remain,2020-05-15,Adventure,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",2.78,,17
Captain Tsubasa: Rise of New Champions,2020-08-27,"Casual, Action, RPG, Sports","PC, PlayStation 4, Nintendo Switch",3.26,72.0,41
Wild Hearts,2023-02-16,"Adventure, Action","PC, PlayStation 5, Xbox Series S/X",2.93,,28
NBA 2K23,2022-09-09,"Simulation, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.09,,22
Bloodstained: Curse of the Moon 2,2020-07-10,"Platformer, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch",3.86,,21
Venba,2023-07-30,"Adventure, Casual, Arcade, Simulation, Indie","PC, Xbox Series S/X, Nintendo Switch",4.07,,42
Grand Theft Auto: The Trilogy – The Definitive Edition,2021-11-11,"Shooter, Action","PC, PlayStation 5, PlayStation 4, Xbox One, Xbox Series S/X, Nintendo Switch, iOS, Android",2.07,,115
Space Warlord Organ Trading Simulator,2021-12-06,"Strategy, Simulation","PC, Xbox One, Xbox Series S/X, Nintendo Switch",2.91,,32
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,2021-10-13,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.54,,28
Payday 3,2023-09-21,"Shooter, Adventure, Action, RPG","PC, PlayStation 5, Xbox Series S/X",2.68,,35
Werewolf: The Apocalypse - Earthblood,2021-02-04,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",2.04,52.0,51
Matchpoint - Tennis Championships,2022-07-07,"Simulation, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2.81,,15
Hello Neighbor 2,2022-12-05,"Indie, Strategy, Adventure, Action","PC, PlayStation 5, Xbox Series S/X",2.41,,17
XIII - Remake,2020-11-10,"Shooter, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",2.09,41.0,46
Neversong,2020-05-19,"Casual, Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux",3.1,75.0,19
KeyWe,2021-08-31,"Casual, Indie","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",3.74,74.0,22
RollerCoaster Tycoon 3: Complete Edition,2020-09-24,"Strategy, Simulation","PC, Nintendo Switch, macOS",2.79,72.0,14
Fights in Tight Spaces,2021-12-02,"Strategy, Action, Puzzle","PC, Xbox One, Xbox Series S/X",3.78,78.0,34
The Lord of the Rings: Gollum,2023-05-25,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",1.29,40.0,67
Age of Wonders 4,2023-05-01,Strategy,"PC, PlayStation 5, Xbox Series S/X",4.05,,39
Five Nights at Freddy's: Security Breach,2021-12-16,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",2.85,64.0,54
Fuser,2020-11-10,"Casual, Family, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch",3.67,79.0,32
Hoa,2021-08-24,"Casual, Platformer, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",3.64,70.0,42
Tchia,2023-03-21,"Adventure, Action","PC, PlayStation 5, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.33,77.0,50
Bravely Default II,2021-02-26,"Adventure, RPG","PC, Nintendo Switch",3.64,80.0,22
Samurai Jack: Battle Through Time,2020-08-14,"Adventure, Action, Fighting","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS",3.31,72.0,35
Ben 10: Power Trip,2020-10-09,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",2.74,,18
Gods Will Fall,2021-01-29,Action,"PC, Xbox One, PlayStation 4, Nintendo Switch",2.39,66.0,23
Resident Evil 4 - Separate Ways,2023-09-21,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox Series S/X",4.42,,68
9 Monkeys of Shaolin,2020-10-16,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",3.59,71.0,32
Mighty Goose,2021-06-05,"Platformer, Indie, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",3.86,72.0,28
Bear and Breakfast,2022-07-28,"Adventure, RPG, Casual, Strategy, Simulation","PC, Nintendo Switch",3.59,72.0,17
Chenso Club,2022-09-01,"Action, Casual, Arcade, Indie, Platformer","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.33,,6
Alone in the Dark Prologue,2023-05-26,"Adventure, Action","PC, PlayStation 5, Xbox Series S/X",3.15,,13
The Last Case of Benedict Fox,2023-04-27,"Indie, Adventure, Action, RPG","PC, Xbox Series S/X",2.75,,35
No More Heroes 3,2021-08-27,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.17,74.0,28
Astral Ascent,2022-04-12,"Indie, Platformer, Adventure, Action","PC, PlayStation 5, PlayStation 4, Nintendo Switch",4.0,,7
Horizon Forbidden West - Burning Shores,2023-04-19,"Adventure, Action","PC, PlayStation 5, PlayStation 4",4.29,,55
Spells & Secrets,2023-11-09,"Adventure, Action, RPG, Casual, Simulation, Sports, Indie","PC, Xbox Series S/X, Nintendo Switch",0.0,,0
Football Manager 2023,2022-11-07,"Simulation, Sports","PC, PlayStation 5, Xbox One, Xbox Series S/X, Nintendo Switch, iOS, macOS",3.68,,34
Vampire: The Masquerade – Swansong,2022-05-19,"Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2.94,64.0,52
Infernax,2022-02-14,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.98,83.0,45
Atelier Ryza 2: Lost Legends & the Secret Fairy,2021-01-26,"Adventure, RPG","PC, PlayStation 5, PlayStation 4, Nintendo Switch",3.61,81.0,18
LEGO 2K Drive,2023-05-18,"Racing, Arcade","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2.85,,11
AI: THE SOMNIUM FILES - nirvanA Initiative,2022-06-24,Adventure,"PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.12,,24
Call of Duty: Modern Warfare III,2023-11-09,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.1,,67
The King of Fighters XV,2022-02-17,"Action, Fighting","PC, PlayStation 5, PlayStation 4, Xbox Series S/X",4.1,,21
The Day Before,2023-12-07,"Shooter, Adventure, Action, Casual, Simulation, Indie, Massively Multiplayer","PC, PlayStation 5, Xbox Series S/X, macOS",1.77,,64
Kaze and the Wild Masks,2021-03-26,"Adventure, Action, Arcade, Indie, Platformer","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",4.0,80.0,24
EA SPORTS FC 24,2023-09-22,"Casual, Simulation, Sports","PC, PlayStation 5, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.48,,65
Necrobarista,2020-07-17,"Indie, Adventure, RPG","PC, Nintendo Switch, iOS, macOS",3.42,,26
Shadow Gambit: The Cursed Crew,2023-08-17,"Strategy, Adventure, Action, RPG","PC, PlayStation 5, PlayStation 4, Xbox Series S/X",4.17,,27
Aliens: Dark Descent,2023-06-19,"Strategy, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.9,,27
Ministry of Broadcast,2020-01-29,"Indie, Adventure, Action, Puzzle","PC, Nintendo Switch, iOS, macOS",3.6,,20
Kitaria Fables,2021-09-02,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2.89,69.0,9
PHOGS!,2020-12-03,"Adventure, Puzzle, Casual, Indie, Platformer","PC, Xbox One, PlayStation 4, Nintendo Switch",3.19,78.0,37
Children of Silentown,2023-01-11,"Casual, Indie, Adventure","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.0,76.0,14
Happy Game,2021-10-28,"Casual, Indie, Adventure","PC, Nintendo Switch",3.33,,47
Mundaun,2021-03-15,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",4.2,73.0,39
Helheim Hassle,2020-08-18,"Indie, Adventure","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",4.17,74.0,12
Grand Theft Auto III: The Definitive Edition,2021-11-11,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.26,,67
Like a Dragon Gaiden: The Man Who Erased His Name,2023-11-08,"Adventure, Action","PC, PlayStation 5, PlayStation 4, Xbox Series S/X",4.4,,44
Vigil: The Longest Night,2020-10-14,"Indie, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.74,,26
Jack Move,2022-09-08,"Indie, Adventure, RPG","PC, Nintendo Switch, macOS",3.25,,8
Cities: Skylines 2,2023-10-24,"Strategy, Simulation","PC, PlayStation 5, Xbox Series S/X",3.55,,43
Metamorphosis,2020-08-11,"Indie, Adventure, Action","PC, PlayStation 4, Nintendo Switch",3.14,,21
Foretales,2022-09-15,Adventure,"PC, Nintendo Switch",0.0,,2
The Red Lantern,2020-10-22,"Adventure, RPG, Casual, Simulation, Indie","PC, Nintendo Switch",0.0,67.0,2
A Space for the Unbound,2023-01-19,"Indie, Adventure","PC, Nintendo Switch",4.45,85.0,31
Crime Boss: Rockay City,2023-03-28,"Shooter, Action","PC, PlayStation 5, Xbox Series S/X",2.77,,21
Sherlock Holmes The Awakened,2023-04-11,Adventure,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.57,,30
Demolish & Build 2018,2020-01-15,"Indie, Simulation","PC, Nintendo Switch",3.18,,11
Beasts of Maravilla Island,2021-06-12,"Casual, Indie, Adventure","PC, Xbox One, PlayStation 4, Nintendo Switch",3.0,,9
No one lives under the lighthouse,2020-04-17,"Indie, Adventure","PC, Nintendo Switch",3.71,,30
Moncage,2021-11-15,"Adventure, Puzzle, Casual, Strategy, Simulation, Indie","PC, Nintendo Switch, iOS, Android",3.79,,38
Stranded: Alien Dawn,2022-10-12,"Strategy, Simulation","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.29,,7
Tunche,2021-11-02,"Indie, Action","PC, Xbox One, Nintendo Switch",2.92,,13
Loot River,2022-05-03,"Adventure, Action, RPG, Puzzle, Strategy, Indie","PC, Xbox One, Xbox Series S/X",3.14,,14
KUNAI,2020-02-05,"Indie, Adventure, Action","PC, Nintendo Switch, macOS, Linux",3.31,,13
JoJo's Bizarre Adventure: All-Star Battle R,2022-09-02,"Action, Fighting","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.65,,23
SWORD ART ONLINE: Alicization Lycoris,2020-07-10,"Adventure, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch",2.7,59.0,26
Potion Permit,2022-09-22,"Casual, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, macOS",3.33,,15
MELTY BLOOD: TYPE LUMINA,2021-09-29,"Action, Fighting","PC, Xbox One, PlayStation 4, Nintendo Switch",3.6,,15
Scars Above,2023-02-27,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.14,,21
