name,released,genres,platforms,rating,metacritic,ratings_count
Redistributed: Baldi's Web-Based Basics in Education and Learning 1.4.3 Version,2020-03-11,Educational,"PC, PlayStation 5, Linux, Web",0.0,,2
Cardfight!! Vanguard Dear Days,2022-11-16,Strategy,"PC, Nintendo Switch",0.0,,0
MLB The Show 23,2023-03-27,Sports,"PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,1
Infinite - Beyond The Mind,2020-05-07,Action,"Xbox One, PlayStation 4, Nintendo Switch",0.0,,1
UNO - FLIP,2020-03-17,Casual,"PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,1
My Universe - Cooking Star Restaurant,2020-11-10,"Casual, Simulation","PC, PlayStation 4, Nintendo Switch, macOS",0.0,,1
Doodle Devil: 3volution,2021-03-11,"Simulation, Puzzle","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch",0.0,,0
Flippin Kaktus,2022-05-12,"Indie, Adventure, Action","PC, PlayStation 5, Xbox Series S/X, Nintendo Switch, macOS, Linux",0.0,,0
Umineko no Naku Koro ni Saku ~Symphony of Catbox and Dreams~,2021-01-28,Indie,"PlayStation 4, Nintendo Switch",0.0,,1
Super Fowlst 2,2020-05-25,"Casual, Indie, Action","PC, Nintendo Switch, iOS",0.0,,4
Mega Man Battle Network Legacy Collection,2023-04-14,"Action, RPG","PC, PlayStation 4, Nintendo Switch",0.0,,0
Sentimental Death Loop,2023-07-06,"Casual, Indie, Adventure, Action","PC, Nintendo Switch",0.0,,1
Get-A-Grip Chip,2020-03-18,"Indie, Platformer, Adventure, Action","PC, Nintendo Switch, macOS, Linux",0.0,,1
WordHerd,2020-03-31,"Casual, Educational, Indie","PC, PlayStation 4, Nintendo Switch",0.0,,0
Monster Hunter: Rise - Complete Edition,2023-01-20,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",0.0,,0
Neptunia ReVerse,2021-06-08,RPG,PlayStation 5,0.0,67.0,0
Rigid Force Redux,2020-06-05,"Arcade, Action","Xbox One, PlayStation 4, Nintendo Switch",0.0,,1
Prison Architect - Island Bound,2020-06-11,Strategy,"PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,2
The Unholy Society,2020-02-25,"Indie, Adventure","PC, Nintendo Switch, macOS, Linux",0.0,,0
Touhou Spell Bubble,2020-10-29,Puzzle,Nintendo Switch,0.0,,0
Desperate: Vladivostok,2022-08-31,"Shooter, Adventure, Action, Fighting, Sports","PC, PlayStation 5",0.0,,0
We Love Katamari + Royal Reverie,2022-06-02,Arcade,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,1
Beast Breaker,2021-09-23,"Strategy, Adventure, Puzzle","PC, Nintendo Switch, macOS",0.0,,2
Hatsune Miku: Project DIVA Mega Mix,2020-05-15,,Nintendo Switch,0.0,,1
Crash 'n' the Boys: Street Challenge (2020),2020-04-16,Sports,"PlayStation 4, Nintendo Switch",0.0,,0
UNO - Fenyx's Quest,2021-01-28,Casual,"PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,1
It came from space and ate our brains,2020-01-28,"Shooter, Action","Xbox One, PlayStation 4, Nintendo Switch",0.0,,0
Tilt Pack,2020-02-11,,Nintendo Switch,0.0,,4
Stones of the Revenant,2020-03-31,"Indie, Adventure, Action","PC, Xbox One, Nintendo Switch",0.0,,0
Journey to Foundation,2023-10-26,"Shooter, Adventure","PC, PlayStation 5",0.0,,1
Jurassic World Evolution: Complete Edition,2020-11-03,"Strategy, Adventure, Simulation",Nintendo Switch,0.0,75.0,1
Ciel nosurge DX,2021-03-04,"Adventure, RPG","PC, PlayStation 4, Nintendo Switch",0.0,,0
Fluxteria,2020-05-19,,"PlayStation 4, Nintendo Switch",0.0,,0
Sniper,2020-04-16,"Casual, Shooter, Action","PC, PlayStation 4, Nintendo Switch",0.0,,0
Minecraft Dungeons: Creeping Winter,2020-09-08,"Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,2
EA Sports WRC 24,2023-11-03,"Racing, Simulation","PlayStation 5, Xbox Series S/X",0.0,,1
Lost Judgment: The Kaito Files,2022-03-28,"Adventure, Action, Fighting","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",0.0,,3
Billion Road,2020-04-16,Board Games,"PC, Nintendo Switch",0.0,,1
Adventure Academia: The Fractured Continent,2022-09-07,"Strategy, RPG","PC, PlayStation 4, Nintendo Switch",0.0,,0
Etrian Odyssey Origins Collection,2023-06-01,RPG,"PC, Nintendo Switch",0.0,,0
Forspoken: In Tanta We Trust,2023-05-23,"Adventure, Action","PC, PlayStation 5",0.0,,3
STAR WARS: Hunters,2021-12-31,"Action, RPG","Nintendo Switch, iOS",0.0,,0
Life is Strange: True Colors - Deluxe Upgrade,2021-09-09,Adventure,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,3
Blood will be Spilled,2020-02-20,"Adventure, Action, RPG, Strategy, Indie","PC, Nintendo Switch",0.0,,0
Towertale,2020-04-08,"Indie, Action","PC, Nintendo Switch",0.0,,2
CopperBell,2020-03-27,,Nintendo Switch,0.0,,0
Fortnite Festival,2023-12-09,"Arcade, Action","PC, PlayStation 5, PlayStation 4, Xbox One, Xbox Series S/X, Nintendo Switch, Android",0.0,,1
Prinny 1•2: Exploded and Reloaded,2020-10-13,Platformer,Nintendo Switch,0.0,,0
Arcade Archives Penguin-Kun Wars,2020-01-02,Arcade,"PlayStation 4, Nintendo Switch",0.0,,0
Zombie Rollerz: Pinball Heroes,2022-03-02,Arcade,"PC, Nintendo Switch",0.0,,0
Apex Legends - Loba Edition,2021-10-02,Shooter,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,2
Flowing Lights,2021-05-07,"Indie, Action","PC, Xbox One, Nintendo Switch",0.0,70.0,0
Invisible Fist,2020-01-06,"Strategy, Indie, RPG","PC, Nintendo Switch, macOS",0.0,,2
UNO - 50th Anniversary,2021-06-03,Casual,"PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,1
Super Perils of Baking,2022-06-03,"Casual, Indie, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch",0.0,76.0,0
Full Quiet,2021-07-07,"Platformer, Adventure, Action","PC, Xbox One, Nintendo Switch, NES",0.0,,1
Vitamin Plus,2021-10-31,Casual,"PC, Xbox Series S/X",0.0,,0
Darius Cozmic Collection Console,2020-06-16,,"PlayStation 4, Nintendo Switch",0.0,,0
Aikano ~ Snow Sky Triangle ~,2020-10-29,Adventure,"PlayStation 5, PlayStation 4",0.0,,0
Koruldia Heritage,2020-09-30,"Adventure, RPG","PC, Nintendo Switch, macOS, Linux",0.0,,0
PixelJunk Eden 2,2020-12-10,Action,Nintendo Switch,0.0,78.0,0
Tents and Trees,2023-03-14,"Casual, Strategy, Indie, Puzzle","PC, Nintendo Switch",0.0,,2
Avatar: The Last Airbender - Quest for Balance,2023-09-22,"Adventure, Action, Fighting, Puzzle","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,0
Willy Jetman: Astromonkey's Revenge,2020-01-31,"Indie, Adventure, Action, RPG","PC, Nintendo Switch, macOS, Linux",0.0,,0
Overwatch 2: Watchpoint Pack,2022-10-04,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,1
The Tomorrow Children: Phoenix Edition,2022-09-06,"Massively Multiplayer, Action","PlayStation 5, PlayStation 4",0.0,62.0,0
Overwatch 2 - Starter Pack: Season One,2022-10-04,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,3
Lonely Mountains: Downhill - Rivera's Revenge,2023-10-25,"Racing, Indie, Sports","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",0.0,,0
CATAN: Console Edition,2023-01-23,Board Games,"PC, PlayStation 5, Xbox Series S/X",0.0,,1
